date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:20:36	37045/37045	---MCZ	200	added ('OK')	application/javascript	etag:W/%225869c96cc8f19086aee625d670d741f9%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/js/bootstrap.min.js	E:/fullpage/VITCMUN/maxcdn.bootstrapcdn.com/bootstrap/3.3.7/js/bootstrap.min.js	(from http://www.vitcmun.in/)
23:20:42	4515/4515	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202018%2011:55:04%20GMT	http://www.vitcmun.in/ExecutiveBoard/index.html	E:/fullpage/VITCMUN/www.vitcmun.in/ExecutiveBoard/index.html	(from http://www.vitcmun.in/)
23:20:44	86659/86659	---MC-	200	added ('OK')	text/javascript	date:Fri,%2024%20Mar%202017%2020:55:54%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.2.1/jquery.min.js	E:/fullpage/VITCMUN/ajax.googleapis.com/ajax/libs/jquery/3.2.1/jquery.min.js	(from http://www.vitcmun.in/)
23:20:44	4590/4590	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202018%2011:55:22%20GMT	http://www.vitcmun.in/ExecutiveBoard/trilateral.html	E:/fullpage/VITCMUN/www.vitcmun.in/ExecutiveBoard/trilateral.html	(from http://www.vitcmun.in/)
23:20:52	65049/65049	---M--	200	added ('OK')	image/jpeg	date:Fri,%2015%20Dec%202017%2008:39:55%20GMT	http://www.vitcmun.in/images/tc.jpg	E:/fullpage/VITCMUN/www.vitcmun.in/images/tc.jpg	(from http://www.vitcmun.in/)
23:21:04	192776/192776	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Dec%202017%2019:47:55%20GMT	http://www.vitcmun.in/images/logovit.png	E:/fullpage/VITCMUN/www.vitcmun.in/images/logovit.png	(from http://www.vitcmun.in/)
23:21:05	4567/4567	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202018%2011:54:52%20GMT	http://www.vitcmun.in/ExecutiveBoard/disec.html	E:/fullpage/VITCMUN/www.vitcmun.in/ExecutiveBoard/disec.html	(from http://www.vitcmun.in/)
23:21:05	175089/175089	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20Dec%202017%2006:03:09%20GMT	http://www.vitcmun.in/images/alj.jpg	E:/fullpage/VITCMUN/www.vitcmun.in/images/alj.jpg	(from http://www.vitcmun.in/)
23:21:06	4586/4586	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202018%2011:54:58%20GMT	http://www.vitcmun.in/ExecutiveBoard/hrc.html	E:/fullpage/VITCMUN/www.vitcmun.in/ExecutiveBoard/hrc.html	(from http://www.vitcmun.in/)
23:21:07	92350/92350	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20Dec%202017%2006:03:09%20GMT	http://www.vitcmun.in/images/disecj.jpg	E:/fullpage/VITCMUN/www.vitcmun.in/images/disecj.jpg	(from http://www.vitcmun.in/)
23:21:08	1225/1225	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2027%20Dec%202017%2005:30:03%20GMT	http://www.vitcmun.in/js/index.js	E:/fullpage/VITCMUN/www.vitcmun.in/js/index.js	(from http://www.vitcmun.in/)
23:21:09	156306/156306	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20Dec%202017%2006:03:09%20GMT	http://www.vitcmun.in/images/aippmj.jpg	E:/fullpage/VITCMUN/www.vitcmun.in/images/aippmj.jpg	(from http://www.vitcmun.in/)
23:21:12	20525/20525	---M--	200	added ('OK')	image/jpeg	date:Wed,%2013%20Dec%202017%2019:37:52%20GMT	http://www.vitcmun.in/images/Siddhant-secgen.jpeg	E:/fullpage/VITCMUN/www.vitcmun.in/images/Siddhant-secgen.jpg	(from http://www.vitcmun.in/)
23:21:15	38976/38976	---M--	200	added ('OK')	image/jpeg	date:Wed,%2013%20Dec%202017%2019:47:55%20GMT	http://www.vitcmun.in/images/Krishna-DG.jpeg	E:/fullpage/VITCMUN/www.vitcmun.in/images/Krishna-DG.jpg	(from http://www.vitcmun.in/)
23:21:18	36164/36164	---M--	200	added ('OK')	image/jpeg	date:Wed,%2013%20Dec%202017%2019:49:46%20GMT	http://www.vitcmun.in/images/Rohit-DSG.jpeg	E:/fullpage/VITCMUN/www.vitcmun.in/images/Rohit-DSG.jpg	(from http://www.vitcmun.in/)
23:21:25	130273/130273	---M--	200	added ('OK')	image/jpeg	date:Wed,%2013%20Dec%202017%2019:47:55%20GMT	http://www.vitcmun.in/images/hrc.jpg	E:/fullpage/VITCMUN/www.vitcmun.in/images/hrc.jpg	(from http://www.vitcmun.in/)
23:21:27	135291/135291	---M--	200	added ('OK')	image/jpeg	date:Fri,%2015%20Dec%202017%2020:55:58%20GMT	http://www.vitcmun.in/images/sc1.jpg	E:/fullpage/VITCMUN/www.vitcmun.in/images/sc1.jpg	(from http://www.vitcmun.in/)
23:21:33	108569/108569	---M--	200	added ('OK')	image/jpeg	date:Wed,%2013%20Dec%202017%2019:49:46%20GMT	http://www.vitcmun.in/images/Sandip-CDA.jpg	E:/fullpage/VITCMUN/www.vitcmun.in/images/Sandip-CDA.jpg	(from http://www.vitcmun.in/)
23:21:43	153427/153427	---M--	200	added ('OK')	image/jpeg	date:Wed,%2013%20Dec%202017%2019:48:52%20GMT	http://www.vitcmun.in/images/Suporno-Finance.jpg	E:/fullpage/VITCMUN/www.vitcmun.in/images/Suporno-Finance.jpg	(from http://www.vitcmun.in/)
23:21:51	144498/144498	---M--	200	added ('OK')	image/jpeg	date:Wed,%2013%20Dec%202017%2019:48:15%20GMT	http://www.vitcmun.in/images/Sarthak-Logistics.jpg	E:/fullpage/VITCMUN/www.vitcmun.in/images/Sarthak-Logistics.jpg	(from http://www.vitcmun.in/)
23:21:52	166635/166635	---M--	200	added ('OK')	image/jpeg	date:Wed,%2013%20Dec%202017%2019:37:52%20GMT	http://www.vitcmun.in/images/Aayush-tech.jpg	E:/fullpage/VITCMUN/www.vitcmun.in/images/Aayush-tech.jpg	(from http://www.vitcmun.in/)
